data set,frontier size,seconds elapsed,best score,successor count,max depth reached
1,5,0.3,78.13539,1120,100
1,50,0.6,8087.67720,2576,100
1,500,3.3,8094.02268,17017,100
1,5000,10.0,8093.82040,57624,21
1,50000,10.0,8094.02905,55305,19
1,500000,10.0,8094.02905,54333,19
2,5,0.4,708.43988,1568,100
2,50,3.6,672.76246,24595,100
2,500,10.0,585.88475,85893,45
2,5000,10.0,585.88475,89699,37
2,50000,10.0,585.88475,89889,37
2,500000,10.0,585.88475,74993,37
3,5,0.9,84.46681,5452,100
3,50,7.9,88.91085,52788,100
3,500,10.0,92.22899,77533,71
3,5000,10.0,19.69655,89094,10
3,50000,10.0,19.69655,94165,10
3,500000,10.0,19.69655,84061,10
