data set,frontier size,seconds elapsed,best score,successor count,max depth reached
1,5,0.3,78.13539,1120,100
1,50,0.5,8087.67720,2576,100
1,500,2.8,8094.02268,17017,100
1,5000,28.3,8094.02268,172156,100
1,50000,60.0,8094.02905,350310,20
1,500000,60.0,8094.06897,327298,20
2,5,0.4,708.43988,1568,100
2,50,3.0,672.76246,24595,100
2,500,60.0,649.35502,514302,95
2,5000,60.0,585.88475,664809,39
2,50000,60.0,585.88475,670622,38
2,500000,60.0,585.88475,579080,38
3,5,0.8,84.46681,5452,100
3,50,6.5,88.91085,52788,100
3,500,60.0,92.22899,428495,89
3,5000,60.0,92.22899,508520,74
3,50000,60.0,19.69655,747340,11
3,500000,60.0,19.69655,694263,10
